Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
AIV,"Apartment Investment and Management",53.59,0.59,+1.11%,53.59,52.8,275997,"13:50 ET"
AIZ,"Assurant Inc",130.18,-1.11,-0.85%,130.53,128.52,179826,"13:51 ET"
AJG,"Arthur J. Gallagher & Company",96.56,0.29000000000001,+0.30%,96.58,95.26,256211,"13:51 ET"
AKAM,"Akamai Technologies",96.44,0.84999999999999,+0.89%,96.45,94.98,311686,"13:51 ET"
ALB,"Albemarle Corp",81.49,0.11,+0.14%,81.62,79.51,958649,"13:50 ET"
ALGN,"Align Technology",270.53,-8.78,-3.14%,280.01,269.61,399140,"13:51 ET"
ALK,"Alaska Air Group",66.77,1.18,+1.80%,66.83,64.44,659689,"13:51 ET"
ALL,"Allstate Corp",117.63,-0.02000000000001,-0.02%,117.64,116.1,547698,"13:51 ET"
ALLE,"Allegion Plc",129.17,-0.28,-0.22%,129.51,128.57,349309,"13:50 ET"
ALXN,"Alexion Pharm Inc",108.83,-2.57,-2.31%,111.28,108.02,759040,"13:51 ET"
AMAT,"Applied Materials",63.47,-0.42,-0.66%,64.26,63.13,3279605,"13:51 ET"
AMCR,"Amcor Plc",10.71,-0.02,-0.19%,10.71,10.59,1369315,"13:50 ET"
AMD,"Adv Micro Devices",51.31,-0.12,-0.23%,51.41,50.74,25054336,"13:51 ET"
AME,"Amtek Inc",100.31,0.040000000000006,+0.04%,100.38,99.29,334278,"13:50 ET"
AMGN,"Amgen Inc",235.66,-1.09,-0.46%,237.06,233.07,1067122,"13:51 ET"
AMP,"Ameriprise Financial Services",170.47,-0.66999999999999,-0.39%,170.53,167.99,332303,"13:50 ET"
AMT,"American Tower Corp",237.25,2.09,+0.89%,238.49,235.01,547310,"13:51 ET"
AMZN,"Amazon.com Inc",1884.86,-2.6000000000001,-0.14%,1887.39,1872.76,1331863,"13:51 ET"
ANET,"Arista Networks Inc",230.08,7.36,+3.30%,230.37,221.48,347641,"13:50 ET"
ANSS,"Ansys Inc",276.96,2.23,+0.81%,278.74,273.58,175371,"13:51 ET"
ANTM,"Anthem Inc",303.52,0.0099999999999909,0.00%,305.48,301.29,465876,"13:51 ET"
AON,"AON Plc",212.96,1.05,+0.50%,212.96,210.17,336609,"13:51 ET"
AOS,"Smith [A.O.] Corp",46.46,-0.039999999999999,-0.09%,47.01,46.09,909128,"13:51 ET"
APA,"Apache Corp",30.19,-0.68,-2.20%,30.62,29.87,2493839,"13:51 ET"
APD,"Air Products and Chemicals",236.37,-1.67,-0.70%,237.72,233.64,523182,"13:51 ET"
APH,"Amphenol Corp",105.48,-1.15,-1.08%,106.95,104.3,751176,"13:51 ET"
APTV,"Aptiv Plc",91.77,0.61999999999999,+0.68%,91.77,89.25,673184,"13:51 ET"
ARE,"Alexandria Real Estate Equities",164.99,1.71,+1.05%,165.05,162.47,139652,"13:51 ET"
ARNC,"Arconic Inc",29.32,0.48,+1.66%,29.39,28.59,1531881,"13:51 ET"
ATO,"Atmos Energy Corp",116.69,0.59999999999999,+0.52%,116.7,115.88,190372,"13:51 ET"
ATVI,"Activision Blizzard",60.25,-0.07,-0.12%,60.55,60.06,2270206,"13:51 ET"
AVB,"Avalonbay Communities",218.19,1.55,+0.72%,218.34,216.01,180324,"13:51 ET"
AVGO,"Broadcom Ltd",318.38,5.5,+1.76%,318.38,310.82,1276056,"13:51 ET"
AVY,"Avery Dennison Corp",130.36,0.13000000000002,+0.10%,130.36,128.6,144974,"13:48 ET"
AWK,"American Water Works",135.13,1.08,+0.81%,135.53,133.81,356701,"13:50 ET"
AXP,"American Express Company",131.14,-0.35000000000002,-0.27%,131.47,130.14,1763381,"13:51 ET"
AZO,Autozone,1163.94,6.6100000000001,+0.57%,1167.98,1149,85883,"13:51 ET"
BA,"Boeing Company",315.86,6.86,+2.22%,317.11,307.7,6022476,"13:51 ET"
BAC,"Bank of America Corp",34.12,-0.24,-0.70%,34.22,33.73,26206683,"13:51 ET"
BAX,"Baxter International Inc",91.33,0.17,+0.19%,91.43,90.53,792906,"13:50 ET"
BBY,"Best Buy Company",90.03,0.76000000000001,+0.85%,90.13,88.33,581233,"13:50 ET"
BDX,"Becton Dickinson and Company",278.98,0.15000000000003,+0.05%,280.29,276.68,539051,"13:51 ET"
BEN,"Franklin Resources",25.7,-0.16,-0.62%,25.92,25.32,1176955,"13:51 ET"
BF.B,"Brown Forman Inc Cl B",71.73,-0.039999999999992,-0.06%,71.79,71.05,180651,"13:50 ET"
BIIB,"Biogen Inc",284.82,-3.28,-1.14%,288.08,281.21,1249787,"13:51 ET"
BK,"Bank of New York Mellon Corp",47.35,0.62,+1.33%,47.35,46.25,2596186,"13:51 ET"
BKNG,"Booking Holdings Inc",1994.62,-5.6200000000001,-0.28%,2006.7,1975.12,191299,"13:51 ET"
BKR,"Baker Hughes A Ge Co. Cl A",22.89,0.21,+0.93%,23.15,22.31,3439903,"13:51 ET"
BLK,Blackrock,539.87,3.01,+0.56%,539.87,532.83,309862,"13:51 ET"
BLL,"Ball Corp",71.7,-0.14999999999999,-0.21%,72.45,71.1,1045845,"13:51 ET"
BMY,"Bristol-Myers Squibb Company",66.77,-0.66000000000001,-0.98%,67.25,66.03,6096345,"13:51 ET"
BR,"Broadridge Financial Solutions Llc",131.53,-1,-0.75%,132.83,130.64,196906,"13:50 ET"
BRK.B,"Berkshire Hathaway Cl B",229.2,-0.34,-0.15%,229.5,227.35,1561069,"13:51 ET"
BSX,"Boston Scientific Corp",43.54,-0.51,-1.16%,44.03,43.19,2768811,"13:51 ET"
BWA,"Borgwarner Inc",40.21,-0.079999999999998,-0.20%,40.23,39.31,584282,"13:51 ET"
BXP,"Boston Properties",141.25,1.35,+0.96%,141.28,138.85,146001,"13:50 ET"
C,"Citigroup Inc",79.88,-0.22,-0.27%,79.9,78.92,5778180,"13:51 ET"
CAG,"Conagra Brands Inc",32.71,0.42,+1.30%,32.72,31.97,1832142,"13:51 ET"
CAH,"Cardinal Health",55.03,-0.29,-0.52%,55.22,54.54,1734060,"13:51 ET"
CAT,"Caterpillar Inc",141.78,-0.84999999999999,-0.60%,141.85,139.8,1614424,"13:51 ET"
CB,"Chubb Ltd",152.05,-1.78,-1.16%,152.94,149.08,1341343,"13:50 ET"
CBOE,"CBOE Global Markets Inc",119.2,0.48,+0.40%,119.98,117.8,153302,"13:51 ET"
CBRE,"CBRE Group Inc",61.21,0.3,+0.49%,61.23,60.35,226704,"13:49 ET"
CCI,"Crown Castle International Corp",149.35,0.66,+0.44%,150.21,148,485403,"13:51 ET"
CCL,"Carnival Corp",49.31,-0.57,-1.14%,49.45,48.13,3728731,"13:51 ET"
CDNS,"Cadence Design Sys",75.41,0.61,+0.82%,75.55,74.2,464519,"13:51 ET"
CDW,"CDW Corp",137.98,1.4,+1.03%,138.12,135.47,444579,"13:50 ET"
CE,"Celanese Corp",115.7,-1.08,-0.92%,116.1,114.24,207456,"13:51 ET"
CERN,"Cerner Corp",75.28,-0.23999999999999,-0.32%,75.37,74.54,305071,"13:51 ET"
CF,"Cf Industries Holdings",42.36,-0.35,-0.82%,42.42,41.29,1183279,"13:51 ET"
CFG,"Citizens Financial Group Inc/Ri",39.82,-0.33,-0.82%,40.1,39.32,2038804,"13:51 ET"
CHD,"Church & Dwight Company",71.11,-1.11,-1.54%,72.73,70.95,1062008,"13:51 ET"
CHRW,"C.H. Robinson Ww",79.61,-0.7,-0.87%,80.22,78.87,438058,"13:51 ET"
CHTR,"Charter Communicatio",512.5,1.74,+0.34%,516.7,505.28,495071,"13:51 ET"
CI,"Cigna Corp",212.85,1.59,+0.75%,213.38,209.83,753784,"13:51 ET"
CINF,"Cincinnati Financial",105.97,-1.17,-1.09%,106.7,105.14,169926,"13:50 ET"
CL,"Colgate-Palmolive Company",70.32,-0.21000000000001,-0.30%,71.07,69.98,1257635,"13:51 ET"
CLX,"Clorox Company",158.67,-0.96000000000001,-0.60%,161.16,158.55,311370,"13:51 ET"
CMA,"Comerica Inc",65.83,-0.57000000000001,-0.86%,66.36,64.86,905655,"13:51 ET"
CMCSA,"Comcast Corp A",45.74,-1.7,-3.58%,48.55,45.52,17926911,"13:51 ET"
CME,"CME Group Inc",208.29,0.81,+0.39%,209.14,206.59,519652,"13:51 ET"
CMG,"Chipotle Mexican Grill",879.35,0.17000000000007,+0.02%,884,872.8,112432,"13:50 ET"
CMI,"Cummins Inc",170.09,-0.02000000000001,-0.01%,170.09,167.42,401838,"13:51 ET"
CMS,"Cms Energy Corp",66.82,0.27,+0.41%,67.08,66.57,580572,"13:51 ET"
CNC,"Centene Corp",67.15,0.39,+0.58%,67.16,65.06,3513572,"13:51 ET"
CNP,"Centerpoint Energy Inc",26.81,0.63,+2.41%,26.84,26.11,2600027,"13:51 ET"
COF,"Capital One Financial Corp",106.2,-0.56,-0.52%,106.51,105.2,1038681,"13:51 ET"
COG,"Cabot Oil & Gas Corp",15.22,-0.21,-1.36%,15.47,15.05,5713590,"13:51 ET"
COO,"Cooper Companies",356,-3.98,-1.11%,358.82,353.15,124610,"13:43 ET"
COP,Conocophillips,62.76,-0.25,-0.40%,62.84,61.62,3224921,"13:51 ET"
COST,"Costco Wholesale",312.38,0.49000000000001,+0.16%,313.4,310.71,696281,"13:51 ET"
COTY,"Coty Inc",10.66,-0.11,-1.02%,10.81,10.53,1693023,"13:51 ET"
CPB,"Campbell Soup Company",49.01,0.44,+0.91%,49.05,48.2,2804037,"13:51 ET"
